PLACEMENT_ID,STUDENT_ID,MOCK_INTERVIEW_SCORE,INTERNSHIPS_COMPLETED,PLACEMENT_STATUS,COMPANY_NAME,PLACEMENT_PACKAGE,INTERVIEW_ROUNDS_CLEARED,PLACEMENT_DATE
1,1,52,0,NotPlaced,,0,4,
2,2,85,1,NotPlaced,,0,1,
3,3,78,2,NotPlaced,,0,2,
4,4,99,3,Placed,Thompson Group,955652,3,2025-04-06
5,5,43,2,NotPlaced,,0,1,
6,6,95,0,Placed,Hull and Sons,421256,3,2024-08-08
7,7,81,3,Placed,Wright PLC,994956,4,2025-05-31
8,8,45,1,Placed,Stephenson and Sons,1181004,4,2024-07-24
9,9,44,1,NotPlaced,,0,5,
10,10,91,0,NotPlaced,,0,2,
11,11,78,0,NotPlaced,,0,3,
12,12,40,0,Placed,"Jackson, Perez and Perez",480875,4,2025-02-08
13,13,99,3,NotPlaced,,0,2,
14,14,68,2,Placed,"Bean, Wright and Robinson",645547,1,2024-11-16
15,15,80,3,NotPlaced,,0,1,
16,16,99,2,NotPlaced,,0,3,
17,17,70,2,Placed,"Martinez, Leblanc and White",1162094,1,2025-04-13
18,18,50,0,Placed,Frazier Inc,1118286,4,2024-08-28
19,19,60,2,Placed,Simpson-Garcia,1271254,1,2025-06-11
20,20,93,2,NotPlaced,,0,3,
21,21,70,1,Placed,"Thompson, Williams and Bright",550718,1,2024-10-06
22,22,61,2,Placed,"Garcia, Santiago and Johnson",715491,3,2024-12-14
23,23,89,2,Placed,Moses-Thomas,530795,0,2024-09-15
24,24,69,0,NotPlaced,,0,4,
25,25,64,3,NotPlaced,,0,2,
26,26,79,3,NotPlaced,,0,5,
27,27,61,1,NotPlaced,,0,0,
28,28,46,3,NotPlaced,,0,1,
29,29,63,3,Placed,Garcia-Johnson,662512,5,2025-01-13
30,30,74,1,Placed,Wright and Sons,599539,4,2024-11-16
31,31,85,2,NotPlaced,,0,4,
32,32,50,3,NotPlaced,,0,5,
33,33,66,2,NotPlaced,,0,5,
34,34,88,3,Placed,Murphy-Barnes,827412,3,2024-09-01
35,35,62,3,NotPlaced,,0,1,
36,36,63,2,NotPlaced,,0,3,
37,37,82,0,NotPlaced,,0,4,
38,38,50,3,NotPlaced,,0,5,
39,39,88,1,NotPlaced,,0,0,
40,40,73,1,Placed,"Alvarez, Bentley and Boone",1004001,1,2024-12-09
41,41,54,0,Placed,Murphy PLC,609944,1,2024-07-23
42,42,84,0,NotPlaced,,0,4,
43,43,100,2,Placed,Mills Inc,1458422,5,2024-08-10
44,44,62,1,NotPlaced,,0,2,
45,45,69,3,Placed,Chavez-Stewart,817128,0,2024-12-10
46,46,80,0,Placed,Clark Group,1159423,1,2024-08-20
47,47,52,1,Placed,Elliott-Morgan,1128196,0,2024-08-12
48,48,75,3,NotPlaced,,0,1,
49,49,42,2,NotPlaced,,0,0,
50,50,96,3,NotPlaced,,0,0,
51,51,61,0,Placed,Soto-Graham,1397210,0,2025-01-10
52,52,81,3,NotPlaced,,0,1,
53,53,58,0,NotPlaced,,0,2,
54,54,92,2,NotPlaced,,0,2,
55,55,63,1,Placed,"Rivera, Brown and Ellison",557349,1,2025-01-23
56,56,44,2,Placed,"Sanford, Vega and Vega",472197,3,2025-06-17
57,57,77,1,NotPlaced,,0,3,
58,58,69,0,Placed,Conner-Howard,1382849,0,2024-11-28
59,59,48,0,NotPlaced,,0,2,
60,60,48,2,NotPlaced,,0,3,
61,61,57,2,NotPlaced,,0,4,
62,62,90,3,Placed,Moore Group,429958,4,2025-06-17
63,63,85,0,Placed,Oconnor Ltd,1239805,2,2025-04-11
64,64,79,3,NotPlaced,,0,4,
65,65,65,2,NotPlaced,,0,3,
66,66,85,1,Placed,Brown Inc,1233966,2,2025-01-31
67,67,52,2,Placed,Wyatt PLC,868395,4,2024-12-19
68,68,90,1,Placed,Gardner PLC,1017730,3,2024-10-20
69,69,71,2,NotPlaced,,0,2,
70,70,94,3,Placed,Reyes Ltd,1191129,1,2025-06-19
71,71,40,2,Placed,"Mendez, Lewis and Williams",1407121,1,2025-02-27
72,72,87,2,NotPlaced,,0,1,
73,73,52,2,Placed,Barnes PLC,461610,2,2024-07-19
74,74,95,1,NotPlaced,,0,1,
75,75,49,3,Placed,Brown-Anderson,1215565,0,2024-08-22
76,76,79,3,Placed,Alexander Ltd,1366069,4,2024-09-30
77,77,45,1,Placed,Pineda LLC,1115441,2,2024-12-15
78,78,90,2,Placed,Mitchell Ltd,737382,3,2025-03-29
79,79,67,2,NotPlaced,,0,3,
80,80,94,0,Placed,Lynch Group,1148613,0,2025-06-07
81,81,82,1,Placed,"Juarez, Martinez and Macias",649132,1,2024-12-14
82,82,70,0,Placed,"Russell, Cain and Williams",1335331,1,2024-11-26
83,83,61,3,Placed,Dudley-Lawson,890284,2,2024-12-25
84,84,50,2,Placed,Hodge-Parker,976653,2,2025-06-20
85,85,51,3,NotPlaced,,0,1,
86,86,87,0,Placed,Burch-Shelton,1317430,1,2025-04-22
87,87,82,2,NotPlaced,,0,0,
88,88,92,3,Placed,Marquez-Barnett,855690,4,2025-06-12
89,89,66,1,NotPlaced,,0,2,
90,90,70,2,NotPlaced,,0,3,
91,91,92,2,Placed,Bennett PLC,858841,4,2024-09-23
92,92,48,0,Placed,"Mcknight, Kelly and Graham",763170,3,2025-03-18
93,93,100,3,Placed,Shaffer Ltd,1346278,0,2025-02-19
94,94,90,2,Placed,Cummings-Avery,1470861,3,2024-10-26
95,95,66,2,Placed,"Cruz, Delgado and Dean",1234098,2,2025-05-20
96,96,82,3,Placed,Fuller LLC,668481,4,2024-10-02
97,97,72,1,NotPlaced,,0,1,
98,98,93,1,NotPlaced,,0,5,
99,99,43,0,NotPlaced,,0,5,
100,100,52,2,NotPlaced,,0,3,
101,101,88,1,Placed,"Roberts, Thomas and Lopez",701916,5,2024-12-09
102,102,46,3,NotPlaced,,0,0,
103,103,41,0,Placed,Warren LLC,538086,5,2025-01-15
104,104,61,1,NotPlaced,,0,2,
105,105,83,0,NotPlaced,,0,1,
106,106,48,1,NotPlaced,,0,3,
107,107,96,0,NotPlaced,,0,4,
108,108,70,2,NotPlaced,,0,2,
109,109,95,2,Placed,Romero PLC,726843,4,2024-12-10
110,110,67,1,NotPlaced,,0,2,
111,111,41,3,Placed,Carlson Group,955685,3,2025-03-16
112,112,78,3,Placed,Wilson-Alvarado,999407,5,2025-04-10
113,113,61,1,Placed,"Davis, Rosales and Taylor",577520,0,2025-06-10
114,114,51,2,Placed,Davis-Oliver,1158801,3,2025-05-28
115,115,47,1,Placed,"Hill, Romero and Owens",913879,4,2025-02-15
116,116,68,0,NotPlaced,,0,5,
117,117,82,0,NotPlaced,,0,3,
118,118,100,3,NotPlaced,,0,4,
119,119,53,2,NotPlaced,,0,3,
120,120,41,3,NotPlaced,,0,2,
121,121,48,3,NotPlaced,,0,0,
122,122,99,3,Placed,Nunez-Lawrence,1138277,2,2024-12-22
123,123,59,0,NotPlaced,,0,4,
124,124,55,2,Placed,Rubio Group,1192180,1,2025-01-28
125,125,56,1,NotPlaced,,0,4,
126,126,48,3,Placed,Gordon Inc,893804,2,2024-12-23
127,127,90,0,Placed,"Evans, Nguyen and Smith",1187758,0,2024-12-06
128,128,40,0,NotPlaced,,0,5,
129,129,100,0,NotPlaced,,0,2,
130,130,94,3,NotPlaced,,0,3,
131,131,94,1,NotPlaced,,0,1,
132,132,55,3,NotPlaced,,0,3,
133,133,54,3,Placed,Harrell LLC,1482844,5,2024-10-25
134,134,50,2,Placed,"Davis, Mccoy and Smith",1221025,3,2024-07-30
135,135,53,2,NotPlaced,,0,0,
136,136,76,3,Placed,Walters-Chang,1188128,0,2024-11-12
137,137,83,2,Placed,Smith and Sons,1148094,2,2024-10-11
138,138,88,2,Placed,Roberts LLC,1419489,1,2025-03-29
139,139,86,0,NotPlaced,,0,3,
140,140,51,0,Placed,Juarez-Patrick,1468426,3,2024-11-11
141,141,72,3,Placed,"Garcia, Cooper and Sawyer",1238928,2,2025-03-12
142,142,55,0,Placed,Wallace-Simpson,1064114,0,2025-02-09
143,143,62,2,NotPlaced,,0,5,
144,144,47,0,NotPlaced,,0,4,
145,145,62,1,Placed,Fields-Zuniga,648321,3,2024-09-14
146,146,75,3,Placed,Barnett-Owens,420026,5,2025-02-24
147,147,66,1,Placed,"Hall, Smith and King",787967,2,2024-10-04
148,148,80,1,Placed,"Holt, Morgan and Perez",662497,0,2024-11-12
149,149,63,0,Placed,"Ford, Pennington and Bartlett",421684,2,2024-09-21
150,150,78,1,Placed,"Berry, Pruitt and Frank",1114813,0,2024-08-24
151,151,65,0,NotPlaced,,0,2,
152,152,67,1,NotPlaced,,0,0,
153,153,95,1,NotPlaced,,0,2,
154,154,40,2,NotPlaced,,0,4,
155,155,89,0,Placed,Mcknight PLC,790570,2,2024-11-26
156,156,99,0,Placed,Stark-Arnold,552676,1,2025-03-14
157,157,80,3,Placed,"Wall, Castro and Stephens",410507,2,2024-08-07
158,158,95,3,Placed,"Morales, Patton and Aguirre",680412,1,2024-10-22
159,159,91,3,NotPlaced,,0,4,
160,160,54,0,Placed,Erickson-Martin,955953,2,2025-05-22
161,161,57,3,Placed,Booth-Cain,729930,4,2025-04-19
162,162,92,0,NotPlaced,,0,0,
163,163,55,3,Placed,Anderson-Kirk,644877,4,2025-06-03
164,164,78,1,Placed,Melton-Hopkins,1007594,2,2025-06-12
165,165,41,0,NotPlaced,,0,5,
166,166,56,1,Placed,"Guerrero, Day and Weeks",484567,0,2025-05-15
167,167,60,3,Placed,Herring-Smith,1355951,0,2024-11-19
168,168,55,0,NotPlaced,,0,5,
169,169,59,0,NotPlaced,,0,5,
170,170,97,1,NotPlaced,,0,4,
171,171,41,1,NotPlaced,,0,3,
172,172,70,1,NotPlaced,,0,1,
173,173,97,1,Placed,Bowen-Allen,1375389,2,2025-02-12
174,174,51,1,Placed,Romero and Sons,1405624,1,2024-10-09
175,175,62,3,NotPlaced,,0,4,
176,176,64,3,NotPlaced,,0,2,
177,177,62,2,NotPlaced,,0,3,
178,178,41,0,Placed,"Adams, Riley and Thompson",412579,2,2024-07-27
179,179,77,2,Placed,Moore-Lawson,1492844,4,2024-09-09
180,180,65,0,NotPlaced,,0,5,
181,181,98,0,NotPlaced,,0,0,
182,182,61,0,Placed,Stewart-Galloway,752468,1,2025-02-12
183,183,40,0,Placed,Dawson Group,800758,3,2025-03-12
184,184,66,1,Placed,Crosby-Love,1216086,1,2024-08-21
185,185,85,1,NotPlaced,,0,1,
186,186,95,0,NotPlaced,,0,3,
187,187,63,0,Placed,Wiggins Ltd,1287895,1,2024-08-28
188,188,73,0,NotPlaced,,0,1,
189,189,72,1,NotPlaced,,0,5,
190,190,76,3,Placed,Smith-Frederick,801153,2,2024-08-30
191,191,54,0,Placed,Mckenzie Inc,527987,0,2024-12-30
192,192,66,1,Placed,"Webb, Price and Garcia",882543,2,2025-01-08
193,193,69,3,NotPlaced,,0,2,
194,194,57,2,Placed,Sanders-Cisneros,1370142,4,2024-10-09
195,195,69,3,Placed,Guzman Group,552551,2,2025-03-04
196,196,74,3,Placed,"Brown, Mueller and Robertson",1288110,2,2024-08-03
197,197,90,1,Placed,Woods Ltd,497306,5,2025-02-10
198,198,57,3,NotPlaced,,0,5,
199,199,70,1,NotPlaced,,0,2,
200,200,54,1,Placed,Shepherd PLC,1363105,2,2025-05-12
201,201,70,2,NotPlaced,,0,2,
202,202,43,1,Placed,"Turner, Sutton and Flores",938890,1,2025-05-02
203,203,88,0,Placed,Smith LLC,458898,5,2025-05-29
204,204,48,3,NotPlaced,,0,4,
205,205,76,1,NotPlaced,,0,5,
206,206,45,3,Placed,"Gonzalez, Larson and Proctor",447043,0,2025-06-29
207,207,83,1,Placed,Rivera and Sons,939970,3,2024-11-18
208,208,94,3,Placed,Huff-Figueroa,1231042,2,2024-11-21
209,209,72,3,NotPlaced,,0,4,
210,210,55,0,NotPlaced,,0,0,
211,211,96,0,Placed,Murillo PLC,1363829,2,2025-02-16
212,212,87,0,Placed,"Edwards, Palmer and Bishop",720393,5,2024-07-13
213,213,78,2,NotPlaced,,0,4,
214,214,66,0,NotPlaced,,0,3,
215,215,46,1,Placed,Good-Leon,1339343,5,2025-01-17
216,216,86,2,NotPlaced,,0,2,
217,217,73,0,NotPlaced,,0,2,
218,218,49,2,Placed,Smith LLC,507948,2,2024-10-10
219,219,77,2,NotPlaced,,0,0,
220,220,52,1,Placed,Olsen PLC,515299,2,2024-09-29
221,221,57,0,NotPlaced,,0,2,
222,222,42,2,Placed,Cross-Dorsey,515854,1,2024-11-20
223,223,92,3,Placed,"Sims, Gordon and Gonzalez",1364249,2,2025-05-31
224,224,50,2,Placed,Frank PLC,923511,3,2024-08-31
225,225,60,0,NotPlaced,,0,1,
226,226,95,0,NotPlaced,,0,5,
227,227,65,2,NotPlaced,,0,2,
228,228,51,3,Placed,"Rogers, Miller and James",426639,5,2025-05-02
229,229,52,2,Placed,Barrett PLC,1017485,5,2024-08-01
230,230,78,1,NotPlaced,,0,2,
231,231,96,1,NotPlaced,,0,3,
232,232,46,2,Placed,"Davis, Collins and Gilmore",1333604,4,2024-12-10
233,233,57,1,Placed,Pruitt Group,831969,4,2024-12-16
234,234,50,1,Placed,Meyers-Matthews,1197049,0,2025-04-22
235,235,77,0,NotPlaced,,0,3,
236,236,80,0,Placed,Wood Ltd,1032479,0,2024-11-29
237,237,70,2,NotPlaced,,0,2,
238,238,52,2,Placed,Davis-Welch,1266082,4,2024-07-11
239,239,54,0,Placed,"Stokes, Holt and Singh",569280,0,2024-10-30
240,240,67,2,NotPlaced,,0,2,
241,241,93,2,Placed,Brown-Whitehead,1443408,5,2025-02-27
242,242,68,3,NotPlaced,,0,2,
243,243,71,0,Placed,Yang-Mcgee,1229438,5,2025-04-08
244,244,70,0,NotPlaced,,0,3,
245,245,72,3,NotPlaced,,0,0,
246,246,52,3,NotPlaced,,0,5,
247,247,42,3,NotPlaced,,0,0,
248,248,65,0,Placed,Ware LLC,582232,3,2025-06-11
